PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
307,0,0,3.63797880709171E-12,-8.05491733551025,-42.120246887207,7,0,0,0
308,0,0,3.63797880709171E-12,-8.05491733551025,-42.120246887207,7,0,0,0
309,0,0,0,-5.63019800186157,-38.7687301635742,7,0,0,0
310,0,0,0,-5.63019800186157,-38.7687301635742,7,0,0,0
311,0,0,3.72892827726901E-11,-3.27543163299561,-35.2470855712891,7,0,0,0
312,0,0,3.72892827726901E-11,-3.27543163299561,-35.2470855712891,7,0,0,0
313,0,0,-9.09494701772928E-13,-1.07623302936554,-31.5553092956543,7,0,0,0
314,0,0,-9.09494701772928E-13,-1.07623302936554,-31.5553092956543,7,0,0,0
315,0,0,3.72892827726901E-11,1.09670650959015,-27.6934013366699,7,0,0,0
316,0,0,3.72892827726901E-11,1.09670650959015,-27.6934013366699,7,0,0,0
317,0,0,3.45607986673713E-11,3.0295729637146,-23.6613845825195,7,0,0,0
318,0,0,3.45607986673713E-11,3.0295729637146,-23.6613845825195,7,0,0,0
319,0,0,1.81898940354586E-12,4.92478895187378,-19.4592361450195,7,0,0,0
320,0,0,1.81898940354586E-12,4.92478895187378,-19.4592361450195,7,0,0,0
321,0,0,5.6843418860808E-14,6.59674167633057,-15.086971282959,7,0,0,0
322,0,0,5.6843418860808E-14,6.59674167633057,-15.086971282959,7,0,0,0
323,0,0,1.18234311230481E-11,8.20291137695313,-10.5445833206177,7,0,0,0
324,0,0,1.18234311230481E-11,8.20291137695313,-10.5445833206177,7,0,0,0
325,0,0,0,9.63399887084961,-5.83206129074097,7,0,0,0
326,0,0,0,9.63399887084961,-5.83206129074097,7,0,0,0
327,0,0,0,10.9400339126587,-0.949433326721191,7,0,0,0
328,0,0,0,10.9400339126587,-0.949433326721191,7,0,0,0
329,0,0,0,12.0728931427002,4.10333061218262,7,0,0,0
330,0,0,0,12.0728931427002,4.10333061218262,7,0,0,0
331,0,0,-9.09494701772928E-13,13.0971555709839,9.32621574401855,7,0,0,0
332,0,0,-9.09494701772928E-13,13.0971555709839,9.32621574401855,7,0,0,0
333,0,0,-1.81898940354586E-12,13.9955940246582,14.7192211151123,7,0,0,0
334,0,0,-1.81898940354586E-12,13.9955940246582,14.7192211151123,7,0,0,0
